ENODEB_CELLNAME,ENODEB,DATA_DATE,MARKET_CLUSTER,VERSION,REGION,MARKET,DL_CH_BANDWIDTH,EARFCN_DL,DRBPDCPSDUKBYTESDL_NONGBR,DLPRBUSEDWITHDSPUC_FDUSERS,DLPRBUSEDWITHDSPUC_FSUSERS,EUCELL_DL_TPUT_NUM_KBITS,EUCELL_DL_TPUT_DEN_SECS,EUCELL_DL_DRB_TPUT_NUM_KBITS,EUCELL_DL_DRB_TPUT_DEN_SECS
COL03098_8C_1,COL03098,20170705,ROCKY MOUNTAIN REGION,13.15.0,West,Colorado,n25-5MHz,2485,100868920,311812474,1457903508,546326290.4,80373.552,677592137.7,79396.987
COL03098_8A_1,COL03098,20170705,ROCKY MOUNTAIN REGION,13.15.0,West,Colorado,n25-5MHz,2485,62017459,219845211,1027310948,294907912.2,41546.033,407712825.3,46610.848
COL01212_2B_1,COL01212,20170705,ROCKY MOUNTAIN REGION,13.15.0,West,Colorado,n75-15MHz,2225,122423290,433629966,4360145074,692574920.7,37073.865,793034571.8,27935.518
COL01212_2C_1,COL01212,20170705,ROCKY MOUNTAIN REGION,13.15.0,West,Colorado,n75-15MHz,2225,86108192,544527919,2889868190,249837289.5,18214.918,464769613.8,18450.121
COL01212_2A_1,COL01212,20170705,ROCKY MOUNTAIN REGION,13.15.0,West,Colorado,n75-15MHz,2225,341065625,3421468079,6804943172,1941247361,135446.232,2184723210,96211.937
COL01269_2B_1,COL01269,20170705,ROCKY MOUNTAIN REGION,13.15.0,West,Colorado,n75-15MHz,2225,754099303,24702427169,3176598045,4517823881,1723056.388,5015691813,1530403.867
COL01269_2C_1,COL01269,20170705,ROCKY MOUNTAIN REGION,13.15.0,West,Colorado,n75-15MHz,2225,900875940,24664489947,1912702414,5438327554,1256520.52,5839349457,1061861.689
COL01269_2A_1,COL01269,20170705,ROCKY MOUNTAIN REGION,13.15.0,West,Colorado,n75-15MHz,2225,82297481,446681491,3468082679,329101262.8,21915.333,515715285,20051.499
COL06202_2C_1,COL06202,20170705,ROCKY MOUNTAIN REGION,13.15.0,West,Colorado,n75-15MHz,2225,637881474,9625813535,4655718253,3408519627,314235.558,3928029061,197781.674
COL06202_2B_1,COL06202,20170705,ROCKY MOUNTAIN REGION,13.15.0,West,Colorado,n75-15MHz,2225,291730371,3524397832,4498443320,1444105626,142876.927,1837621060,98919.301
COL06202_2A_1,COL06202,20170705,ROCKY MOUNTAIN REGION,13.15.0,West,Colorado,n75-15MHz,2225,679697564,13302405890,3744692699,3626672169,431332.844,4269626024,324787.035
COL01393_2C_1,COL01393,20170705,ROCKY MOUNTAIN REGION,13.15.0,West,Colorado,n75-15MHz,2225,10430424,23265933,220699934,27950678.02,1038.177,38189080.58,886.858
COL01393_2A_1,COL01393,20170705,ROCKY MOUNTAIN REGION,13.15.0,West,Colorado,n75-15MHz,2225,2039370,6750404,98062902,3852623.872,144.489,6333317.12,171.891
COL01393_2B_1,COL01393,20170705,ROCKY MOUNTAIN REGION,13.15.0,West,Colorado,n75-15MHz,2225,32829446,86819401,894287520,43250606.08,2366.098,97505443.84,2338.504
COL06206_2B_1,COL06206,20170705,ROCKY MOUNTAIN REGION,13.15.0,West,Colorado,n50-10MHz,2250,340132664,1892495395,7360981096,265799573.5,35145.033,2131881157,178479.456
COL06206_2A_1,COL06206,20170705,ROCKY MOUNTAIN REGION,13.15.0,West,Colorado,n50-10MHz,2250,528200355,1639947202,12778139245,2997820146,386007.69,3395834749,310247.906
COL06206_2C_1,COL06206,20170705,ROCKY MOUNTAIN REGION,13.15.0,West,Colorado,n50-10MHz,2250,402106285,3191190149,6525990907,2362061701,271026.812,2637943276,197092.824
COL06226_2A_1,COL06226,20170705,ROCKY MOUNTAIN REGION,13.15.0,West,Colorado,n50-10MHz,2250,401070448,351008989,5391673777,1412155646,70593.024,1905306575,63446.025
COL06226_2C_1,COL06226,20170705,ROCKY MOUNTAIN REGION,13.15.0,West,Colorado,n50-10MHz,2250,71451220,185274456,1941329376,266874216.4,26156.294,403184123.9,24901.638
COL03033_2B_1,COL03033,20170705,ROCKY MOUNTAIN REGION,13.15.0,West,Colorado,n75-15MHz,2225,119615808,433721491,7917870183,593990344.7,46564.295,765832642.6,38325.802
COL03033_2C_1,COL03033,20170705,ROCKY MOUNTAIN REGION,13.15.0,West,Colorado,n75-15MHz,2225,327693872,1573114372,27808833481,1544069759,360578.227,2127728337,411243.562
COL03033_2A_1,COL03033,20170705,ROCKY MOUNTAIN REGION,13.15.0,West,Colorado,n75-15MHz,2225,336375255,5930412731,21849526254,1610698990,501359.296,2281058255,551172.065
COL06226_2B_1,COL06226,20170705,ROCKY MOUNTAIN REGION,13.15.0,West,Colorado,n50-10MHz,2250,1423342,4748956,33093263,6042255.36,335.419,7709614.08,339.479
COL05126_7C_1,COL05126,20170705,ROCKY MOUNTAIN REGION,13.15.0,West,Colorado,n50-10MHz,5780,196978664,2740884132,6414533297,1103983469,204879.514,1361867915,175226.48
COL09752_2A_1,COL09752R,20170705,ROCKY MOUNTAIN REGION,13.15.0,West,Colorado,n75-15MHz,2225,11464923,58833830,332413699,29183557.63,1861.115,50057871.36,1820.41
COL09752_2B_1,COL09752R,20170705,ROCKY MOUNTAIN REGION,13.15.0,West,Colorado,n75-15MHz,2225,5668863,40534600,323563531,15214690.3,1204.566,26769539.07,1224.099
COL02046_9C_1,COL02046,20170705,ROCKY MOUNTAIN REGION,13.15.0,West,Colorado,n100-20MHz,1100,123962316,1001692240,4753741267,614732931.1,45769.394,783472754.7,35611.766
COL02046_9A_1,COL02046,20170705,ROCKY MOUNTAIN REGION,13.15.0,West,Colorado,n100-20MHz,1100,569152041,14932082615,5216998193,3114674577,313826.791,3441901822,174505.208
COL02046_9B_1,COL02046,20170705,ROCKY MOUNTAIN REGION,13.15.0,West,Colorado,n100-20MHz,1100,273617108,3836905188,12375069602,1098657366,120988.329,1714448130,106121.955
COL03044_9B_1,COL03044,20170705,ROCKY MOUNTAIN REGION,13.15.0,West,Colorado,n75-15MHz,1125,323518258,2329955675,10693335681,1684247536,192894.272,2097964679,142714.905
COL03044_9C_1,COL03044,20170705,ROCKY MOUNTAIN REGION,13.15.0,West,Colorado,n75-15MHz,1125,281772831,2670308641,8655953927,1017427075,133896.939,1771463361,124042.378
COL03044_9A_1,COL03044,20170705,ROCKY MOUNTAIN REGION,13.15.0,West,Colorado,n75-15MHz,1125,593730384,16258206136,7824014091,3406392345,599682.762,3998347502,492978.163
COL01415_2B_1,COL01415,20170705,ROCKY MOUNTAIN REGION,13.15.0,West,Colorado,n75-15MHz,2225,505733029,15476087645,3645447714,2526285799,354741.665,3090674328,263757.169
COL01415_2A_1,COL01415,20170705,ROCKY MOUNTAIN REGION,13.15.0,West,Colorado,n75-15MHz,2225,36040411,442381183,1668822556,120773222.4,13487.207,210325340.2,14100.572
COL01415_2C_1,COL01415,20170705,ROCKY MOUNTAIN REGION,13.15.0,West,Colorado,n75-15MHz,2225,38661249,456196756,1102672705,112150061.1,9320.383,214121504.8,12256.193
COL01050_2C_1,COL01050,20170705,ROCKY MOUNTAIN REGION,13.15.0,West,Colorado,n75-15MHz,2225,230356557,911190730,5712696172,1125494735,73681.917,1383160857,50139.307
COL01050_2B_1,COL01050,20170705,ROCKY MOUNTAIN REGION,13.15.0,West,Colorado,n75-15MHz,2225,99822175,402977129,3396715472,463045230.6,26406.542,614993584.1,22006.019
COL01050_2A_1,COL01050,20170705,ROCKY MOUNTAIN REGION,13.15.0,West,Colorado,n75-15MHz,2225,148389719,650750100,3889861027,782284046.3,52105.572,957639876.6,39860.018
COL01196_2C_1,COL01196,20170705,ROCKY MOUNTAIN REGION,13.15.0,West,Colorado,n75-15MHz,2225,454842079,4238091687,8172024541,2171708735,220857.466,2488100872,123911.305
COL01196_2A_1,COL01196,20170705,ROCKY MOUNTAIN REGION,13.15.0,West,Colorado,n75-15MHz,2225,229376919,2256956248,7297869339,1190119350,119651.047,1408385360,94950.151
COL01196_2B_1,COL01196,20170705,ROCKY MOUNTAIN REGION,13.15.0,West,Colorado,n75-15MHz,2225,126658850,1033020300,3538589293,596058726.4,55483.549,810844889.1,46718.552
COL03030_2A_1,COL03030,20170705,ROCKY MOUNTAIN REGION,13.15.0,West,Colorado,n75-15MHz,2225,584794840,13725010832,6270115902,3180173001,436692.697,3687618380,335316.95
COL03030_2C_1,COL03030,20170705,ROCKY MOUNTAIN REGION,13.15.0,West,Colorado,n75-15MHz,2225,129188529,595161546,2276588344,481239351.3,36067.485,682958069.8,29514.578
COL03030_2B_1,COL03030,20170705,ROCKY MOUNTAIN REGION,13.15.0,West,Colorado,n75-15MHz,2225,106544260,672176139,3089781817,364568461.3,32777.636,567804477.4,31186.256
COL05049_2A_1,COL05049,20170705,ROCKY MOUNTAIN REGION,13.15.0,West,Colorado,n75-15MHz,2225,164878056,1069086173,5625076816,834322120.7,70492.194,1066171081,56911.139
COL05049_2C_1,COL05049,20170705,ROCKY MOUNTAIN REGION,13.15.0,West,Colorado,n75-15MHz,2225,186535977,823825191,8276633102,1001434808,72819.736,1177357181,51988.67
COL05049_2B_1,COL05049,20170705,ROCKY MOUNTAIN REGION,13.15.0,West,Colorado,n75-15MHz,2225,88695516,397114563,3515342571,386876588,23469.91,558331732,23190.042
COL06238_7A_1,COL06238,20170705,ROCKY MOUNTAIN REGION,13.15.0,West,Colorado,n50-10MHz,5780,21343757,95900264,443601022,73041125.38,7358.848,114276728.8,6678.065
COL06238_7B_1,COL06238,20170705,ROCKY MOUNTAIN REGION,13.15.0,West,Colorado,n50-10MHz,5780,9792366,122271284,185837481,18379677.7,1432.169,50035408.9,3596.094
COL06238_7C_1,COL06238,20170705,ROCKY MOUNTAIN REGION,13.15.0,West,Colorado,n50-10MHz,5780,13708075,68534974,310756332,50641534.98,4318.545,71109427.2,3930.505
COL02078_9C_1,COL02078,20170705,ROCKY MOUNTAIN REGION,13.15.0,West,Colorado,n100-20MHz,1100,129463781,1153551853,3868021948,588352225.3,44960.525,801551515.6,36535.044
COL02078_9B_1,COL02078,20170705,ROCKY MOUNTAIN REGION,13.15.0,West,Colorado,n100-20MHz,1100,225250394,1777861455,8058221446,883545841.7,81932.911,1325110764,63667.17
COL02078_9A_1,COL02078,20170705,ROCKY MOUNTAIN REGION,13.15.0,West,Colorado,n100-20MHz,1100,424053952,3968472669,11942734943,2084975862,168183.345,2499573760,101758.376
COL03095_2A_1,COL03095,20170705,ROCKY MOUNTAIN REGION,13.15.0,West,Colorado,n75-15MHz,2225,772606,3827437,23647081,2909241.344,144.418,4127916.032,143.532
COL03095_2C_1,COL03095,20170705,ROCKY MOUNTAIN REGION,13.15.0,West,Colorado,n75-15MHz,2225,8731226,46379290,2686464759,21555494.91,1501.132,44479930.37,1883.256
COL03095_2B_1,COL03095,20170705,ROCKY MOUNTAIN REGION,13.15.0,West,Colorado,n75-15MHz,2225,30712527,121016023,2030793652,59070324.74,3538.49,139733450.8,5213.175
COL05029_2C_1,COL05029,20170705,ROCKY MOUNTAIN REGION,13.15.0,West,Colorado,n75-15MHz,2225,191361411,956239671,6155850375,1035329307,82154.102,1186545598,51464.053
