ENODEB_CELLNAME,ENODEB,DATA_DATE,MARKET_CLUSTER,VERSION,REGION,MARKET,DL_CH_BANDWIDTH,EARFCN_DL,DRBPDCPSDUKBYTESDL_NONGBR,DLPRBUSEDWITHDSPUC_FDUSERS,DLPRBUSEDWITHDSPUC_FSUSERS,EUCELL_DL_TPUT_NUM_KBITS,EUCELL_DL_TPUT_DEN_SECS,EUCELL_DL_DRB_TPUT_NUM_KBITS,EUCELL_DL_DRB_TPUT_DEN_SECS
JKT00558_9A_1,JKT00558,20170705,PACIFIC JAKARTA,13.15.0,West,Jakarta,n75-15MHz,1125,91330246,688925852,3649566769,448256294.9,34177.41,584203223,40555.588
JKT00622_9C_1,JKT00622,20170705,PACIFIC JAKARTA,13.15.0,West,Jakarta,n75-15MHz,1125,28750942,150212958,497262672,19240232.5,7223.926,166589186,6117.208
JKT00622_9A_1,JKT00622,20170705,PACIFIC JAKARTA,13.15.0,West,Jakarta,n75-15MHz,1125,141909940,733557981,7412192920,675983826.9,53924.895,843622678.5,40981.219
JKT00622_9B_1,JKT00622,20170705,PACIFIC JAKARTA,13.15.0,West,Jakarta,n75-15MHz,1125,468654067,2750912711,7864444973,2348030861,211682.983,2773357396,139779.739
JKT00622_3A_1,JKT00622,20170705,PACIFIC JAKARTA,13.15.0,West,Jakarta,n50-9MHz,9820,7749540,25589050,1544833450,30588764.16,1409.052,4036099.85,1329.015
JKT00224_7C_1,JKT00224,20170705,PACIFIC JAKARTA,13.15.0,West,Jakarta,n50-9MHz,5780,19147075,256699063,482503997,53072240.64,9498.37,129732485.1,14998.856
JKT00224_7A_1,JKT00224,20170705,PACIFIC JAKARTA,13.15.0,West,Jakarta,n50-9MHz,5780,9476917,181655741,240489803,20326473.73,2745.543,66840261.7,6744.404
JKT00022_2B_1,JKT00022,20170705,PACIFIC JAKARTA,13.15.0,West,Jakarta,n50-9MHz,2000,528120453,9563987581,6923456487,3235946037,815532.029,3618625430,718867.078
JKT00022_9C_1,JKT00022,20170705,PACIFIC JAKARTA,13.15.0,West,Jakarta,n75-15MHz,1125,271357524,5553568670,11575848963,1358520812,299451.7,1878535660,330916.768
JKT00022_2A_1,JKT00022,20170705,PACIFIC JAKARTA,13.15.0,West,Jakarta,n50-9MHz,2000,941902230,16754613296,1838846552,6640893418,1900481.835,7159289111,1753097.01
JKT00022_2C_1,JKT00022,20170705,PACIFIC JAKARTA,13.15.0,West,Jakarta,n50-9MHz,2000,528603958,8059805191,5384296508,3075156419,586927.187,3662378648,558678.662
JKT00146_3A_1,JKT00146,20170705,PACIFIC JAKARTA,13.15.0,West,Jakarta,n50-9MHz,9820,134563555,1463399677,2302640778,769355407.4,66919.476,87449344.4,40995.398
JKT00146_3C_1,JKT00146,20170705,PACIFIC JAKARTA,13.15.0,West,Jakarta,n50-9MHz,9820,168373422,887946539,644781192,793515917.3,71591.886,965647694,57837.132
JKT00146_3B_1,JKT00146,20170705,PACIFIC JAKARTA,13.15.0,West,Jakarta,n50-9MHz,9820,58919700,193892160,198524064,345963290.6,2925.301,387274219.5,13446.367
JKT00235_9A_1,JKT00235,20170705,PACIFIC JAKARTA,13.15.0,West,Jakarta,n50-9MHz,190,135572481,986769419,4552134792,618248740.9,77777.268,869173321.7,75635.551
JKT00235_9B_1,JKT00235,20170705,PACIFIC JAKARTA,13.15.0,West,Jakarta,n50-9MHz,190,118985245,492322684,2958888836,521169600.5,43253.267,749909803,42363.633
JKT00235_9C_1,JKT00235,20170705,PACIFIC JAKARTA,13.15.0,West,Jakarta,n50-9MHz,190,62287052,307703611,2130030200,307177136.1,26091.117,405088649.2,25175.424
JKT00406_9C_1,JKT00406,20170705,PACIFIC JAKARTA,13.15.0,West,Jakarta,n75-15MHz,1125,405991368,2752983770,8721840982,1492726194,152793.647,1966282269,115542.918
JKT00406_9A_1,JKT00406,20170705,PACIFIC JAKARTA,13.15.0,West,Jakarta,n75-15MHz,1125,146540453,43217599,3806406157,661494407.2,37997.022,86595281,35052.742
JKT00406_9B_1,JKT00406,20170705,PACIFIC JAKARTA,13.15.0,West,Jakarta,n75-15MHz,1125,159074919,1118308556,5508805627,670594056.2,55456.116,935446519.8,46237.453
