ENODEB_CELLNAME,ENODEB,DATA_DATE,MARKET_CLUSTER,VERSION,REGION,MARKET,DL_CH_BANDWIDTH,EARFCN_DL,DRBPDCPSDUKBYTESDL_NONGBR,DLPRBUSEDWITHDSPUC_FDUSERS,DLPRBUSEDWITHDSPUC_FSUSERS,EUCELL_DL_TPUT_NUM_KBITS,EUCELL_DL_TPUT_DEN_SECS,EUCELL_DL_DRB_TPUT_NUM_KBITS,EUCELL_DL_DRB_TPUT_DEN_SECS
SBY00165_7C_1,SBY00165,31170705,PACIFIC EASTJAVA,13.15.0,West,Surabaya,n50-10MHz,5780,181697664,1791707165,4432399410,1059491684,156927.146,2497908367,150462.883
SBY00285_7A_1,SBY00285,31170705,PACIFIC EASTJAVA,13.15.0,West,Surabaya,n50-10MHz,5780,73550855,362949533,1898187925,369635680.3,37529.76,472481483.8,35932.216
SBY00285_7B_1,SBY00285,31170705,PACIFIC EASTJAVA,13.15.0,West,Surabaya,n50-10MHz,5780,146071343,886824354,3262965235,710665691.1,87286.015,963645849.6,89876.497
SBY00285_7C_1,SBY00285,31170705,PACIFIC EASTJAVA,13.15.0,West,Surabaya,n50-10MHz,5780,184457837,1131663454,4241662681,990625996.8,243415.925,2407484940,113599.9
SBY00426_7C_1,SBY00426,31170705,PACIFIC EASTJAVA,13.15.0,West,Surabaya,n50-10MHz,5780,39715415,700168248,2448437662,161580761.1,26499.197,247655333.9,32169.193
SBY00426_7A_1,SBY00426,31170705,PACIFIC EASTJAVA,13.15.0,West,Surabaya,n50-10MHz,5780,89690284,727222460,2654068932,482407718.9,62817.333,623136566,63680.115
SBY00426_7B_1,SBY00426,31170705,PACIFIC EASTJAVA,13.15.0,West,Surabaya,n50-10MHz,5780,189176161,1940965687,5231100230,1102847689,312572.977,1332385210,196587.807
SBY00500_7B_1,SBY00500,31170705,PACIFIC EASTJAVA,13.15.0,West,Surabaya,n50-10MHz,5780,524357455,8940730354,7036857684,2953146865,716915.491,3652413981,675631.176
SBY00502_7B_1,SBY00502,31170705,PACIFIC EASTJAVA,13.15.0,West,Surabaya,n50-10MHz,5780,266790281,1982119695,24356897393,1625291194,384742.288,1878901613,350259.559
SBY00502_7A_1,SBY00502,31170705,PACIFIC EASTJAVA,13.15.0,West,Surabaya,n50-10MHz,5780,176853431,1719158644,7426186744,983116259.3,190211.874,2444738716,181561.577
SBY00502_7C_1,SBY00502,31170705,PACIFIC EASTJAVA,13.15.0,West,Surabaya,n50-10MHz,5780,189826968,2248858683,9450736915,908371148.8,190985.557,2492168471,211927.977
SBY00524_7B_1,SBY00524,31170705,PACIFIC EASTJAVA,13.15.0,West,Surabaya,n50-10MHz,5780,779318742,17037752452,3037194544,4505906364,2343336.177,5503176223,2757471.925
SBY00524_7C_1,SBY00524,31170705,PACIFIC EASTJAVA,13.15.0,West,Surabaya,n50-10MHz,5780,34726665,568993176,1070322818,198286352.4,33319.849,244024703.7,35445.379
SBY00643_7B_1,SBY00643,31170705,PACIFIC EASTJAVA,13.15.0,West,Surabaya,n50-10MHz,5780,315588580,2182164509,4022699536,758331809.8,245035.306,2465581780,156639.65
SBY00643_7C_1,SBY00643,31170705,PACIFIC EASTJAVA,13.15.0,West,Surabaya,n50-10MHz,5780,231489024,1597281604,5829017733,1309399040,254602.265,1602918433,234187.446
SBY00683_7B_1,SBY00683,31170705,PACIFIC EASTJAVA,13.15.0,West,Surabaya,n50-10MHz,5780,8821155,83583032,215481657,47964422.14,6563.22,62484348.93,5596.438
SBY00683_7A_1,SBY00683,31170705,PACIFIC EASTJAVA,13.15.0,West,Surabaya,n50-10MHz,5780,61625056,479322693,1147782428,260080967.7,29309.956,385764311,32193.341
SBY00796_7A_1,SBY00796,31170705,PACIFIC EASTJAVA,13.15.0,West,Surabaya,n50-10MHz,5780,360684395,1969949507,6666242667,3141313968,291565.101,2487218987,253989.017
SBY00796_7C_1,SBY00796,31170705,PACIFIC EASTJAVA,13.15.0,West,Surabaya,n50-10MHz,5780,372332290,2814768745,8730631437,2358093311,439630.672,2592390742,370960.09
SBY00796_7B_1,SBY00796,31170705,PACIFIC EASTJAVA,13.15.0,West,Surabaya,n50-10MHz,5780,66546848,814499876,1473538221,299962365.6,54891.866,368633929.7,65991.306
