ENODEB_CELLNAME,ENODEB,DATA_DATE,MARKET_CLUSTER,VERSION,REGION,MARKET,DL_CH_BANDWIDTH,EARFCN_DL,DRBPDCPSDUKBYTESDL_NONGBR,DLPRBUSEDWITHDSPUC_FDUSERS,DLPRBUSEDWITHDSPUC_FSUSERS,EUCELL_DL_TPUT_NUM_KBITS,EUCELL_DL_TPUT_DEN_SECS,EUCELL_DL_DRB_TPUT_NUM_KBITS,EUCELL_DL_DRB_TPUT_DEN_SECS
NYL02926_7B_1,NYL02926,20170704,NY/NNJ,13.15.0,Northeast,NYC Manhattan,n50-10MHz,5780,126250216,2676999755,3517481946,719195693.1,131003.182,912809820.2,132570.316
NYL03329_7C_1,NYL03329,20170704,NY/NNJ,13.15.0,Northeast,NYC Manhattan,n50-10MHz,5780,108942223,3151931240,3946778181,505675735,183209.801,774711468,181517.233
NYL04072_7C_1,NYL04072,20170704,NY/NNJ,13.15.0,Northeast,NYC Manhattan,n50-10MHz,5780,59798416,1049717850,1387262310,327482007.6,54111.814,425158524.9,56611.023
NYL04072_7A_1,NYL04072,20170704,NY/NNJ,13.15.0,Northeast,NYC Manhattan,n50-10MHz,5780,122222727,2717804189,2373199206,516892303.4,87994.324,821331058.7,109110.528
NYL04072_7B_1,NYL04072,20170704,NY/NNJ,13.15.0,Northeast,NYC Manhattan,n50-10MHz,5780,87778161,1552439338,2032799496,493489299.5,66382.964,630508716,70211.832
NYL05335_7C_1,NYL05335,20170704,NY/NNJ,13.15.0,Northeast,NYC Manhattan,n50-10MHz,5780,152153189,1008385400,4956961718,753240301.6,118692.865,1044495974,99643.814
NYL05335_7B_1,NYL05335,20170704,NY/NNJ,13.15.0,Northeast,NYC Manhattan,n50-10MHz,5780,11582092,67429608,484987320,57398566.91,4353.699,75285045.25,4609.881
NYL05335_7A_1,NYL05335,20170704,NY/NNJ,13.15.0,Northeast,NYC Manhattan,n50-10MHz,5780,135144183,1343674751,4201734412,679410688,139619.748,940335185.9,123209.256
NYL03344_7B_1,NYL03344,20170704,NY/NNJ,13.15.0,Northeast,NYC Manhattan,n50-10MHz,5780,52554436,512887776,2340987045,238402797.6,24492.396,351758139.4,28598.97
NYL03995_7C_1,NYL03995,20170704,NY/NNJ,13.15.0,Northeast,NYC Manhattan,n50-10MHz,5780,97391152,2282394599,4235690561,587060199.4,187351.03,711808639,180506.365
NYL04114_7A_1,NYL04114,20170704,NY/NNJ,13.15.0,Northeast,NYC Manhattan,n50-10MHz,5780,39108242,523486797,956261704,182493569,27956.242,277943427.1,32773.03
NYL04120_7C_1,NYL04120,20170704,NY/NNJ,13.15.0,Northeast,NYC Manhattan,n50-10MHz,5780,28639232,187189453,1149680465,134196903.9,11918.633,193325817.9,12987.649
NYL04132_7C_1,NYL04132,20170704,NY/NNJ,13.15.0,Northeast,NYC Manhattan,n50-10MHz,5780,242952955,8747883936,4895051501,923016994.8,554537.529,1787272249,1905890.435
